Timestamp,gender,age,state,monthly_income,subscription_reason,subscription_plan,payment,device,pref_time,watch_duration,fav_genre,movie_recom,rating,netflix_recom,feedback
8/2/2023 17:34:28,Female,18 - 25,Kuala Lumpur,Below RM1000,"Good original content, Good recommendation system",Mobile,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,1 to 3 hours,"Action, Adventure, Comedy, Thriller",Minion,4,5,
8/2/2023 20:34:27,Male,18 - 25,Johor,RM0,Good recommendation system,Mobile,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smartphones & Tablets,Weekends,1 to 3 hours,Action,The Amazing Spider-Man,4,3,
8/3/2023 11:57:38,Male,18 - 25,Penang,RM0,Good original content,Standard,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,More than 10 hours,"Action, Adventure, Drama",Train to Busan,4,5,Hahaha pippupu
8/3/2023 13:04:55,Female,18 - 25,Johor,RM0,"Have a wide variety of shows, Good video quality",Mobile,Mobile Wallet (eg: Touch 'n Go),Smart TVs,Weekends,Less than 1 hour,"Action, Adventure, Comedy, Musical",Train to Busan,4,3,
8/3/2023 16:08:54,Male,18 - 25,Kuala Lumpur,Below RM1000,Affordable,Basic,Mobile Wallet (eg: Touch 'n Go),"Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smartphones & Tablets, PCs & Laptops",Weekends,Less than 1 hour,"Adventure, Comedy, Drama",John Wick: Chapter 3 - Parabellum,4,2,
8/3/2023 16:10:39,Male,18 - 25,Pahang,RM0,Good original content,Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smart TVs,Weekends,1 to 3 hours,Comedy,Barbie,5,4,TV Box the best
8/3/2023 16:11:06,Male,18 - 25,Kuala Lumpur,RM0,Good original content,Basic,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,1 to 3 hours,Action,Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,3,3,
8/3/2023 16:14:19,Male,18 - 25,Selangor,RM0,Affordable,Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Streaming Media Players (e.g. Roku, Chromecast, Apple TV)","Weekdays, Weekends",Less than 1 hour,"Action, Adventure",Train to Busan,3,3,
8/3/2023 16:14:32,Male,18 - 25,Negeri Sembilan,RM0,"Affordable, Good video quality",Premium,Mobile Wallet (eg: Touch 'n Go),"Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smart TVs","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Fantasy, Musical, Mystery, Romance",Train to Busan,5,5,
8/3/2023 16:23:03,Male,18 - 25,Selangor,Below RM1000,"Have a wide variety of shows, Good video quality",Premium,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smart TVs, Smartphones & Tablets, PCs & Laptops",Weekends,4 to 7 hours,"Action, Adventure, Musical, Horror, Mystery",John Wick: Chapter 3 - Parabellum,3,4,
8/3/2023 16:23:11,Male,18 - 25,Negeri Sembilan,RM0,Good original content,Basic,Mobile Wallet (eg: Touch 'n Go),Smart TVs,Weekends,1 to 3 hours,"Action, Comedy, Drama",John Wick: Chapter 3 - Parabellum,4,4,
8/3/2023 16:27:41,Female,18 - 25,Kuala Lumpur,RM0,"Good original content, Have a wide variety of shows, Good video quality",Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smart TVs, Set-top Boxes, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Drama, Thriller, Mystery, Romance, Psychological",Spirited Away,4,4,
8/3/2023 16:34:14,Female,18 - 25,Selangor,RM0,Have a wide variety of shows,Standard,Netflix Gift Cards,PCs & Laptops,"Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Horror",Train to Busan,3,3,
8/3/2023 16:39:04,Female,18 - 25,Selangor,RM0,Have a wide variety of shows,Basic,Mobile Wallet (eg: Touch 'n Go),Smart TVs,Weekends,1 to 3 hours,"Adventure, Comedy, Fantasy",Spirited Away,4,4,
8/3/2023 16:56:12,Female,18 - 25,Kuala Lumpur,RM0,Good video quality,Standard,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",PCs & Laptops,Weekends,1 to 3 hours,"Action, Comedy, Drama, Musical, Romance",Spirited Away,3,3,
8/4/2023 8:46:50,Male,18 - 25,Terengganu,RM0,"Affordable, Have a wide variety of shows",Basic,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,1 to 3 hours,"Adventure, Comedy, Horror, Sports",Train to Busan,4,4,
8/4/2023 8:56:39,Female,18 - 25,Selangor,RM0,"Good original content, Have a wide variety of shows, Good video quality",Standard,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smart TVs, Smartphones & Tablets, PCs & Laptops",Weekends,1 to 3 hours,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Thriller, Mystery, Romance, Science Fiction, Psychological",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,4,3,
8/4/2023 9:15:38,Male,18 - 25,Johor,RM5000 and above,Have a wide variety of shows,Mobile,Netflix Gift Cards,"Smart TVs, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure,  Military ",John Wick: Chapter 3 - Parabellum,3,3,
8/4/2023 13:25:38,Male,18 - 25,Johor,RM0,Affordable,Premium,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smartphones & Tablets, PCs & Laptops",Weekdays,1 to 3 hours,Anime,Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,3,3,
8/4/2023 16:10:06,Male,18 - 25,Kuala Lumpur,RM0,"Have a wide variety of shows, Good video quality",Basic,,"Smart TVs, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",Less than 1 hour,"Action, Adventure, Comedy, Drama",Mr Bean's Holiday,4,4,
8/5/2023 9:33:17,Male,18 - 25,Johor,RM0,"Affordable, Good original content, Good video quality",Mobile,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, Smartphones & Tablets, PCs & Laptops",Weekends,4 to 7 hours,"Action, Adventure, Comedy, Science Fiction, Sports",Mr Bean's Holiday,4,4,
8/5/2023 10:32:41,Female,18 - 25,Kuala Lumpur,RM0,Good original content,Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Psychological, anime",Spirited Away,3,3,
8/6/2023 19:16:16,Male,18 - 25,Selangor,RM0,"Good original content, Have a wide variety of shows, Good video quality",Mobile,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smartphones & Tablets, PCs & Laptops",Weekends,1 to 3 hours,"Action, Adventure, Fantasy, Science Fiction",John Wick: Chapter 3 - Parabellum,4,4,
8/8/2023 22:46:08,Male,18 - 25,Selangor,RM0,"Good original content, Have a wide variety of shows",Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smart TVs,Weekends,Less than 1 hour,"Adventure, Comedy, Fantasy",Spirited Away,4,4,
8/9/2023 11:45:47,Female,26 - 35,Kuala Lumpur,Below RM1000,"Affordable, Have a wide variety of shows, Good recommendation system",Mobile,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, Blu-ray Players, PCs & Laptops",Weekdays,8 to 10 hours,"Drama, Horror, Romance",The Karate Kid,5,4,"NO, All is Well"
8/9/2023 11:47:01,Male,18 - 25,Perak,RM1000 - RM2000,Good original content,Basic,"Prepaid Cards (eg: Visa, MasterCard, American Express)","Set-top Boxes, Blu-ray Players, Smartphones & Tablets",Weekends,1 to 3 hours,"Adventure, Drama",To All The Boys I've Loved Before,4,3,Could improve connection
8/9/2023 11:49:49,Male,Below 18,Kelantan,RM0,Good video quality,Mobile,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops",Weekends,1 to 3 hours,"Action, Adventure, Comedy, Drama",John Wick: Chapter 3 - Parabellum,5,4,
8/9/2023 11:50:37,Male,46 and above,Penang,RM3000 - RM5000,Good recommendation system,Premium,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smartphones & Tablets, PCs & Laptops",Weekends,1 to 3 hours,"Drama, Science Fiction, Psychological",Doctor Cha,5,5,shud tryto improv audio quality
8/9/2023 11:51:12,Female,26 - 35,Perak,RM3000 - RM5000,"Good recommendation system, Good video quality",Premium,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smart TVs, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Musical, Horror, Mystery, Sports",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,4,4,
8/9/2023 11:55:00,Female,Below 18,Terengganu,RM5000 and above,Have a wide variety of shows,Standard,Mobile Wallet (eg: Touch 'n Go),"Set-top Boxes, Smartphones & Tablets",Weekends,4 to 7 hours,Musical,Mr Bean's Holiday,4,3,recommendaton system can be better
8/9/2023 11:57:00,Female,18 - 25,Negeri Sembilan,Below RM1000,Have a wide variety of shows,Standard,Mobile Wallet (eg: Touch 'n Go),"Set-top Boxes, Smartphones & Tablets, PCs & Laptops",Weekends,4 to 7 hours,"Adventure, Fantasy, Mystery",The Conjuring,3,4,
8/9/2023 11:58:03,Female,18 - 25,Kuala Lumpur,RM2000 - RM3000,"Good original content, Have a wide variety of shows, Good video quality",Premium,Netflix Gift Cards,"Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smart TVs, Blu-ray Players","Weekdays, Weekends",1 to 3 hours,"Action, Science Fiction, Psychological",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,3,4,
8/9/2023 11:59:08,Male,18 - 25,Selangor,RM0,"Affordable, Good original content",Premium,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smart TVs, Game Consoles, Set-top Boxes, Blu-ray Players, Smartphones & Tablets, PCs & Laptops",Weekends,8 to 10 hours,"Action, Adventure, Comedy, Drama, Fantasy, Musical, Horror, Mystery, Romance",Doctor Cha,5,5,
8/9/2023 11:59:23,Male,Below 18,Melaka,RM1000 - RM2000,"Good original content, Good video quality",Standard,Netflix Gift Cards,"Streaming Media Players (e.g. Roku, Chromecast, Apple TV), PCs & Laptops",Weekdays,8 to 10 hours,"Adventure, Musical, Thriller, Romance",John Wick: Chapter 3 - Parabellum,4,3,
8/9/2023 12:00:21,Male,36 - 45,Terengganu,RM3000 - RM5000,"Affordable, Good original content, Have a wide variety of shows, Good recommendation system, Good video quality",Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)","Smart TVs, Smartphones & Tablets, PCs & Laptops",Weekends,1 to 3 hours,"Action, Adventure, Comedy, Drama, Fantasy, Musical, Horror, Thriller, Mystery, Romance, Science Fiction, Sports, Psychological",Train to Busan,5,5,
8/9/2023 12:01:03,Female,18 - 25,Johor,Below RM1000,Have a wide variety of shows,Premium,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Romance",To All The Boys I've Loved Before,2,3,
8/9/2023 12:01:28,Male,46 and above,Sabah,RM0,Have a wide variety of shows,Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)",Smart TVs,Weekends,4 to 7 hours,"Adventure, Drama, Fantasy, Mystery, Psychological",Train to Busan,4,3,
8/9/2023 12:01:55,Female,Below 18,Perak,RM0,Have a wide variety of shows,Mobile,Netflix Gift Cards,PCs & Laptops,Weekends,Less than 1 hour,"Action, Adventure, Comedy",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,2,2,
8/9/2023 12:03:25,Male,26 - 35,Negeri Sembilan,Below RM1000,"Good original content, Have a wide variety of shows, Good video quality",Premium,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",4 to 7 hours,"Action, Adventure, Comedy, Drama, Fantasy, Musical, Horror, Thriller, Mystery, Romance, Science Fiction, Sports, Psychological",Mr Bean's Holiday,5,5,
8/9/2023 12:04:10,Male,36 - 45,Sarawak,RM5000 and above,"Affordable, Have a wide variety of shows",Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)","Game Consoles, Set-top Boxes, Blu-ray Players, PCs & Laptops","Weekdays, Weekends",4 to 7 hours,"Adventure, Comedy, Horror, Thriller, Mystery, Romance, Sports, Psychological",John Wick: Chapter 3 - Parabellum,1,2,
8/9/2023 12:05:40,Female,18 - 25,Sabah,Below RM1000,"Affordable, Good original content, Have a wide variety of shows, Good recommendation system, Good video quality",Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)","Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Set-top Boxes, Smartphones & Tablets",Weekends,1 to 3 hours,Musical,Imitation,3,3,
8/9/2023 12:06:48,Female,18 - 25,Negeri Sembilan,RM1000 - RM2000,Have a wide variety of shows,Premium,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,4 to 7 hours,"Musical, Romance",BLACKPINK: Light up the sky,4,4,
8/9/2023 12:08:05,Male,26 - 35,Penang,RM5000 and above,"Affordable, Good original content, Have a wide variety of shows, Good video quality",Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)","Set-top Boxes, Blu-ray Players",Weekends,More than 10 hours,"Horror, Thriller, Mystery",Umma,4,3,
8/9/2023 12:08:51,Female,36 - 45,Pahang,RM5000 and above,Affordable,Premium,Netflix Gift Cards,"Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,Horror,Train to Busan,5,5,
8/9/2023 12:09:29,Female,18 - 25,Kelantan,RM0,Have a wide variety of shows,Premium,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Fantasy",The Amazing Spider-Man,2,1,
8/9/2023 12:10:09,Male,18 - 25,Melaka,RM0,"Have a wide variety of shows, Good video quality",Mobile,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops",Weekends,1 to 3 hours,"Action, Comedy, Fantasy, Science Fiction, Sports",Spirited Away,1,2,
8/9/2023 12:12:12,Female,26 - 35,Negeri Sembilan,Below RM1000,"Have a wide variety of shows, Good recommendation system, Good video quality",Standard,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,"Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Thriller, Mystery, Romance",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,4,4,
8/9/2023 12:12:44,Male,26 - 35,Negeri Sembilan,RM1000 - RM2000,"Affordable, Good original content, Have a wide variety of shows",Premium,Mobile Wallet (eg: Touch 'n Go),"Game Consoles, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Adventure, Comedy, Musical, Horror, Romance",Doctor Cha,4,5,
8/9/2023 12:14:14,Female,36 - 45,Kuala Lumpur,RM5000 and above,"Good original content, Have a wide variety of shows, Good recommendation system, Good video quality",Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)","Streaming Media Players (e.g. Roku, Chromecast, Apple TV), Smart TVs, Game Consoles, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Drama, Fantasy, Musical, Horror, Thriller, Mystery, Romance, Science Fiction, Sports, Psychological",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:15:14,Female,46 and above,Perlis,RM0,Have a wide variety of shows,Premium,"Prepaid Cards (eg: Visa, MasterCard, American Express)",Smartphones & Tablets,"Weekdays, Weekends",8 to 10 hours,"Comedy, Drama, Horror, Mystery, Romance",Doctor Cha,3,5,
8/9/2023 12:15:53,Male,Below 18,Kuala Lumpur,RM0,"Have a wide variety of shows, Good recommendation system, Good video quality",Mobile,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,4 to 7 hours,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Thriller, Mystery, Romance, Science Fiction, Sports, Psychological",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,2,3,
8/9/2023 12:17:59,Female,26 - 35,Pahang,RM2000 - RM3000,"Good original content, Have a wide variety of shows",Premium,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops",Weekends,Less than 1 hour,"Action, Comedy, Drama, Fantasy, Horror, Romance",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,3,
8/9/2023 12:23:07,Male,18 - 25,Terengganu,RM1000 - RM2000,Good video quality,Basic,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,Weekends,Less than 1 hour,Romance,365 Days,4,4,
8/9/2023 12:24:14,Female,26 - 35,Negeri Sembilan,RM3000 - RM5000,"Affordable, Good original content, Have a wide variety of shows, Good recommendation system, Good video quality",Premium,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Drama, Mystery, Romance, Science Fiction",Train to Busan,5,3,
8/9/2023 12:25:06,Female,18 - 25,Kedah,RM1000 - RM2000,"Good recommendation system, Good video quality",Premium,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, Smartphones & Tablets, PCs & Laptops",Weekends,4 to 7 hours,"Comedy, Romance",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:26:21,Female,18 - 25,Selangor,Below RM1000,"Have a wide variety of shows, Good recommendation system",Basic,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Drama, Musical, Horror, Thriller, Romance",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:26:48,Male,18 - 25,Negeri Sembilan,RM0,"Have a wide variety of shows, Good video quality",Basic,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,Comedy,Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:27:17,Female,18 - 25,Johor,RM0,"Good original content, Have a wide variety of shows",Mobile,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, Smartphones & Tablets",Weekdays,4 to 7 hours,"Action, Comedy, Horror, Psychological",Train to Busan,5,4,
8/9/2023 12:27:23,Male,18 - 25,Negeri Sembilan,RM0,"Have a wide variety of shows, Good video quality",Basic,Mobile Wallet (eg: Touch 'n Go),Smartphones & Tablets,"Weekdays, Weekends",4 to 7 hours,"Comedy, Horror",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:28:08,Female,18 - 25,Negeri Sembilan,Below RM1000,"Good original content, Good video quality",Standard,"Prepaid Cards (eg: Visa, MasterCard, American Express)",PCs & Laptops,"Weekdays, Weekends",1 to 3 hours,"Adventure, Comedy, Drama, Horror, Romance",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,4,4,
8/9/2023 12:28:40,Male,18 - 25,Kuala Lumpur,Below RM1000,"Good original content, Have a wide variety of shows, Good video quality",Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)","Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",8 to 10 hours,"Action, Adventure, Drama",The Amazing Spider-Man,5,5,
8/9/2023 12:28:48,Male,18 - 25,Negeri Sembilan,RM0,"Good original content, Have a wide variety of shows, Good video quality",Basic,Mobile Wallet (eg: Touch 'n Go),PCs & Laptops,"Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Horror, Thriller, Mystery",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:30:59,Male,18 - 25,Negeri Sembilan,Below RM1000,Good original content,Basic,Mobile Wallet (eg: Touch 'n Go),"Smart TVs, PCs & Laptops",Weekends,8 to 10 hours,"Action, Adventure, Comedy, Science Fiction",The Amazing Spider-Man,4,5,
8/9/2023 12:31:50,Female,Below 18,Negeri Sembilan,RM0,"Affordable, Have a wide variety of shows",Basic,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smart TVs,Weekends,1 to 3 hours,"Drama, Fantasy, Musical, Romance",Spirited Away,4,5,
8/9/2023 12:32:15,Female,18 - 25,Negeri Sembilan,RM1000 - RM2000,Affordable,Premium,Mobile Wallet (eg: Touch 'n Go),"Smartphones & Tablets, PCs & Laptops","Weekdays, Weekends",1 to 3 hours,"Action, Adventure, Comedy, Drama, Musical, Mystery, Psychological",Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train,5,5,
8/9/2023 12:32:47,Male,18 - 25,Pahang,RM0,Affordable,Mobile,"Credit and Debit Cards (eg: Visa, MasterCard, American Express)",Smart TVs,Weekends,1 to 3 hours,Sports,The Karate Kid,5,5,
